<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
SPFB.RTS;0;20230428;090009;101090.000000000;2
SPFB.RTS;0;20230428;090009;101080.000000000;1
SPFB.RTS;0;20230428;090009;101080.000000000;1
SPFB.RTS;0;20230428;090009;101070.000000000;1
SPFB.RTS;0;20230428;090009;101070.000000000;1
SPFB.RTS;0;20230428;090011;101070.000000000;1
SPFB.RTS;0;20230428;090011;101070.000000000;1
SPFB.RTS;0;20230428;090011;101070.000000000;1
SPFB.RTS;0;20230428;090011;101070.000000000;1
SPFB.RTS;0;20230428;090011;101070.000000000;1
SPFB.RTS;0;20230428;090011;101060.000000000;1
SPFB.RTS;0;20230428;090011;101070.000000000;2
SPFB.RTS;0;20230428;090011;101070.000000000;3
SPFB.RTS;0;20230428;090011;101070.000000000;2
SPFB.RTS;0;20230428;090013;101070.000000000;1
SPFB.RTS;0;20230428;090013;101070.000000000;2
SPFB.RTS;0;20230428;090014;101060.000000000;1
SPFB.RTS;0;20230428;090014;101060.000000000;1
SPFB.RTS;0;20230428;090014;101060.000000000;1
SPFB.RTS;0;20230428;090014;101060.000000000;1
SPFB.RTS;0;20230428;090014;101060.000000000;1
SPFB.RTS;0;20230428;090014;101050.000000000;1
SPFB.RTS;0;20230428;090014;101060.000000000;1
SPFB.RTS;0;20230428;090014;101050.000000000;1
SPFB.RTS;0;20230428;090016;101060.000000000;1
SPFB.RTS;0;20230428;090017;101060.000000000;1
SPFB.RTS;0;20230428;090017;101060.000000000;1
SPFB.RTS;0;20230428;090017;101070.000000000;1
SPFB.RTS;0;20230428;090017;101060.000000000;1
SPFB.RTS;0;20230428;090017;101060.000000000;1
SPFB.RTS;0;20230428;090018;101060.000000000;2
SPFB.RTS;0;20230428;090022;101060.000000000;2
SPFB.RTS;0;20230428;090022;101060.000000000;1
SPFB.RTS;0;20230428;090022;101060.000000000;1
SPFB.RTS;0;20230428;090022;101060.000000000;1
SPFB.RTS;0;20230428;090023;101060.000000000;2
SPFB.RTS;0;20230428;090024;101050.000000000;1
SPFB.RTS;0;20230428;090024;101050.000000000;1
SPFB.RTS;0;20230428;090024;101050.000000000;2
SPFB.RTS;0;20230428;090024;101050.000000000;1
SPFB.RTS;0;20230428;090025;101060.000000000;1
SPFB.RTS;0;20230428;090026;101050.000000000;1
SPFB.RTS;0;20230428;090027;101050.000000000;1
SPFB.RTS;0;20230428;090027;101060.000000000;1
SPFB.RTS;0;20230428;090029;101060.000000000;1
SPFB.RTS;0;20230428;090029;101060.000000000;1
SPFB.RTS;0;20230428;090029;101060.000000000;2
SPFB.RTS;0;20230428;090029;101060.000000000;1
